room_id,host_id,host_is_superhost,property_type,room_type,neighborhood,accommodates,bedrooms,bathrooms,latitude,longitude,reviews,price,cleaning_fee,total
148627,709325,f,Apartment,Entire home/apt,Marina,2,1.0,1.0,37.800940000000004,-122.4275,109,165.0,75.0,240.0
148769,709325,f,Apartment,Entire home/apt,Twin Peaks,2,1.0,1.0,37.75195,-122.44928,90,115.0,75.0,190.0
150347,172182,t,Apartment,Entire home/apt,Mission,4,2.0,1.0,37.76202,-122.41876,119,148.0,100.0,248.0
150848,726513,t,Townhouse,Private room,Potrero Hill,2,1.0,1.0,37.762,-122.39391,224,75.0,30.0,105.0
162934,778281,t,Apartment,Entire home/apt,Outer Richmond,2,1.0,1.0,37.777609999999996,-122.50378,236,149.0,110.0,259.0
164207,783438,t,House,Private room,West of Twin Peaks,2,1.0,1.0,37.74159,-122.46578000000001,355,69.0,35.0,104.0
166199,792371,f,Guesthouse,Entire home/apt,Castro/Upper Market,4,1.0,1.0,37.76194,-122.43238999999998,159,220.0,80.0,300.0
166771,794467,t,Apartment,Entire home/apt,Haight Ashbury,4,1.0,1.0,37.76827,-122.44678,155,185.0,250.0,435.0
175090,127367,t,Apartment,Entire home/apt,Financial District,2,0.0,1.0,37.79018,-122.40475,24,110.0,155.0,265.0
175102,127367,t,Apartment,Entire home/apt,Financial District,2,0.0,1.0,37.79076,-122.40403,50,135.0,155.0,290.0
176274,305973,f,House,Private room,Excelsior,2,1.0,1.0,37.731429999999996,-122.42325,10,37.0,30.0,67.0
177137,817292,f,Apartment,Entire home/apt,Chinatown,4,2.0,1.0,37.79675,-122.40781000000001,63,135.0,75.0,210.0
183859,882283,t,Apartment,Entire home/apt,Glen Park,4,2.0,1.0,37.736259999999994,-122.43677,234,220.0,90.0,310.0
187730,142882,f,Apartment,Private room,Mission,1,1.0,2.0,37.75757,-122.41938999999999,128,75.0,85.0,160.0
189068,684131,t,Apartment,Private room,Bernal Heights,2,1.0,1.5,37.73856,-122.41686999999999,170,90.0,35.0,125.0
189894,916362,t,Apartment,Entire home/apt,Marina,2,1.0,1.0,37.80318,-122.42976999999999,40,150.0,90.0,240.0
191632,583207,t,Guest suite,Entire home/apt,Haight Ashbury,2,1.0,1.0,37.773109999999996,-122.44979,469,138.0,43.0,181.0
199480,974441,t,Apartment,Private room,Bernal Heights,1,1.0,1.5,37.74557,-122.41187,198,80.0,20.0,100.0
201313,984585,f,Condominium,Entire home/apt,North Beach,2,1.0,1.0,37.8034,-122.40485,2,182.0,225.0,407.0
201579,986510,t,Apartment,Entire home/apt,Western Addition,4,1.0,1.5,37.77756,-122.43326,213,136.0,99.0,235.0
206566,329072,f,House,Shared room,Chinatown,1,1.0,2.5,37.79507,-122.40498000000001,9,30.0,,
206634,329072,f,House,Shared room,Chinatown,1,1.0,2.5,37.79466,-122.40523,6,30.0,,
206637,329072,f,House,Shared room,Chinatown,1,1.0,2.5,37.79291,-122.40637,3,30.0,,
207980,1023546,t,House,Entire home/apt,Noe Valley,8,3.0,1.0,37.74446,-122.43776000000001,374,295.0,132.0,427.0
208727,519598,t,Apartment,Private room,Outer Richmond,1,1.0,2.5,37.78265,-122.48971,28,79.0,99.0,178.0
208831,1028577,t,Guest suite,Entire home/apt,Russian Hill,2,1.0,1.0,37.80242,-122.4144,468,165.0,60.0,225.0
209514,1032643,f,House,Private room,Haight Ashbury,2,1.0,2.0,37.77118,-122.44963,463,92.0,30.0,122.0
212265,1094844,f,Condominium,Entire home/apt,Mission,4,2.0,2.0,37.75551,-122.40881999999999,11,178.0,250.0,428.0
212783,1032643,f,House,Private room,Haight Ashbury,4,1.0,2.0,37.77108,-122.44941999999999,430,98.0,30.0,128.0
213532,1032643,f,House,Private room,Haight Ashbury,2,1.0,2.0,37.77085,-122.44811000000001,476,78.0,30.0,108.0
213854,1103149,t,Apartment,Entire home/apt,Castro/Upper Market,6,3.0,2.0,37.76146,-122.43817,38,325.0,200.0,525.0
216042,1115353,f,House,Entire home/apt,Bernal Heights,2,1.0,1.0,37.74382,-122.41773,49,147.0,85.0,232.0
216064,812808,f,House,Private room,Outer Mission,2,1.0,2.0,37.72652,-122.43468,90,75.0,25.0,100.0
217106,374909,f,Apartment,Entire home/apt,Haight Ashbury,4,0.0,1.0,37.76468,-122.44523000000001,44,110.0,100.0,210.0
220418,1032643,f,House,Private room,Haight Ashbury,2,1.0,2.0,37.77042,-122.45018999999999,423,78.0,30.0,108.0
221342,285168,f,Condominium,Private room,Russian Hill,6,1.0,2.5,37.80281,-122.4154,200,139.0,50.0,189.0
224579,1168946,t,House,Entire home/apt,Mission,2,1.0,1.0,37.75632,-122.40478,101,145.0,105.0,250.0
225933,1177567,t,Apartment,Private room,Castro/Upper Market,2,1.0,1.0,37.7684,-122.43086000000001,191,99.0,35.0,134.0
226594,1191853,f,Apartment,Private room,Haight Ashbury,2,1.0,0.5,37.76968,-122.45193,105,120.0,25.0,145.0
229240,329072,f,Hostel,Shared room,Financial District,3,1.0,0.0,37.793409999999994,-122.4034,358,45.0,0.0,45.0
229319,12798954,f,Apartment,Entire home/apt,Bernal Heights,4,1.0,1.0,37.73819,-122.41566,18,135.0,125.0,260.0
231129,1208533,f,Townhouse,Entire home/apt,Nob Hill,10,4.0,4.0,37.791140000000006,-122.41028999999999,63,989.0,300.0,1289.0
231752,691445,t,Apartment,Entire home/apt,Noe Valley,4,1.0,1.0,37.75565,-122.44022,77,250.0,250.0,500.0
232060,1214006,f,Guest suite,Entire home/apt,Inner Sunset,2,1.0,1.0,37.75855,-122.46444,113,99.0,75.0,174.0
238190,285168,f,Condominium,Private room,Russian Hill,3,1.0,1.0,37.80301,-122.41581000000001,216,99.0,40.0,139.0
238204,1248132,t,Guest suite,Entire home/apt,Parkside,4,1.0,1.0,37.74174,-122.50435,203,135.0,85.0,220.0
241235,329072,f,Hostel,Shared room,Financial District,4,1.0,0.0,37.79271,-122.40383,316,45.0,0.0,45.0
242008,1270330,t,Apartment,Entire home/apt,South of Market,2,1.0,1.0,37.77499,-122.40635,62,160.0,65.0,225.0
244361,817292,f,Apartment,Entire home/apt,Chinatown,4,2.0,1.0,37.795320000000004,-122.40863,72,135.0,75.0,210.0
245339,1257432,t,Condominium,Entire home/apt,Downtown/Civic Center,2,1.0,1.0,37.78304,-122.41942,8,136.0,125.0,261.0
252867,1327890,f,Condominium,Entire home/apt,Potrero Hill,5,3.0,1.0,37.75889,-122.39538999999999,23,280.0,100.0,380.0
256148,1239523,t,Condominium,Private room,Castro/Upper Market,2,1.0,1.0,37.76188,-122.44215,592,139.0,35.0,174.0
256176,976125,t,Guest suite,Private room,Inner Richmond,1,1.0,1.0,37.77579,-122.45504,307,100.0,40.0,140.0
